La Salle Explorers                        la sal eqsplorersi
Pennsylvania Quakers                      pensilvania quakersi
Longwood Lancers                          longvud lansersi
Southern Virginia Knights                 sauTern virjinia naiTsi
Marshall Thundering Herd                  marSal Tandering herdi
Southern Methodist Mustangs               souTern meTodist mustangsi
N.J.I.T. Highlanders                      n.j.i.t. hailendersi
Bryant Bulldogs                           braiant buldogsi
Navy Midshipmen                           neivi midSipmeni
Holy Cross Crusaders                      holi qros kruseidersi
Northeastern Huskies                      norTistern haskisi
George Mason Patriots                     jorj meison patriotsi
Old Dominion Monarchs                     old dominion monarxsi
NC-Wilmington Seahawks                    vilmington
Presbyterian Blue Hose                    presbiterian blu housi
Gardner-Webb Bulldogs                     gardner-veb buldogsi
Radford Highlanders                       redford hailendersi
VMI Keydets                               vmi qidetsi
Richmond Spiders                          riCmond spaidersi
Rhode Island Rams                         rod ailend remsi
Rutgers Scarlets Knight                   ratgers skarlets naiTi
Rutgers Scarlets Knights                  ratgers skarlets naiTsi
Louisville Cardinals                      liusvil kardinalsi
South Carolina Gamecocks                  souT karolina geimkoqsi
Florida Gators                            florida geitorsi
St. Bonaventure Bonnies                   bonaventur bonisi
Xavier Musketeers                         xavier maskitersi
Duquesne Dukes                            diuqesn diuqsi
Wake Forest Demon Deacons                 veiq forest dimon dikonsi
Virginia Tech Hokies                      virjinia teC hoksi
Charlotte 49ers                           Sarlot 49ers
Massachusetts Minutemen                   masaCusets minutmeni
Miami Hurricanes                          maiami hurikansi
Florida State Seminoles                   florida sTeiT seminolsi
Nicholls State Colonels                   nikols sTeiT qolonelsi
Central Arkansas Bears                    sentral arkanzas birsi
North Carolina Central Eagles             norT karolina sentral eglsi
Maryland-Eastern Shore Hawks              istern Sori
Alabama Crimson Tide                      alabama qrimson taidi
Mississippi Rebels                        misisipi rebelsi
Houston Cougars                           hiuston kugarsi
East Carolina Pirates                     ist karolina piratsi
LSU Tigers                                lsu Taigersi
Mississippi State Bulldogs                misisipi sTeiT buldogsi
Southeastern Louisiana Lions              souTistern luiziana laionsi
McNeese State Cowboys                     maknes sTeiT qauboisi
TCU Horned Frogs                          tsu
Wyoming Cowboys                           vaioming qauboisi
Texas State-San Marcos Bobcats            teqsas sTeiTi
Sam Houston State Bearkats                sem hiuston sTeiT birketsi
Texas-Arlington Mavericks                 teqsas arlingtoni
Stephen F. Austin Lumberjacks             stefan f. austin lumberjeksi
