Russian Captions                          Georgian Captions
ХПК                                       xpk
Тимре                                     timre
Скеллефти                                 skelefti
Херлев                                    herlevi
Сондерийске                               sonderiiske
Фредриксхавн                              fredrikshavni
Зволен                                    zvoleni
Нюрнберг                                  niurnbergi
Банска Быстрица                           banska bistrica
Ильвес                                    ilvesi
Эссет                                     eseti
Лукко                                     luko
Мюнхен                                    miunxeni
Крефельд                                  krefeldi
Ингольштадт                               ingolStadti
Кельн                                     kiolni
Изерлон                                   izerloni
Ганновер Скорпионс                        hanover skorpionsi
Гамбург                                   hamburgi
Штраубинг                                 Straubingi
Вольфсбург                                volfsburgi
Дюссельдорф                               diuseldorfi
Аугсбургер                                augsburgeri
Батыр                                     batiri
Ирбис                                     irbisi
Бриансон                                  briansoni
Октан                                     oqtani
Металлург Мдг                             metalurgi mdg
Кристал-Юниор                             kristal-iuniori
Стальные Львы                             stalnie lvi
Клин                                      klini
Юниорс                                    iuniorsi
Дизелист                                  dizelisti
Призма                                    prizma
Балтика                                   baltika
Зеленоград                                zelenogradi
Айсбакс                                   aisbaksi
Фри Блэйдс                                fri bleidsi
Крейнс                                    kreinsi
Хай1                                      hai1
Питтсбург                                 pitsburgi
Миннесота                                 minesota
Ванкувер                                  vankuveri
Анахайм                                   anahaimi
Сан-Хосе                                  san-xose
Финикс                                    finiqsi
Бостон                                    bostoni
Монреаль                                  monreali
Иглс                                      iglsi
Дрэгон                                    dregoni
Аньян Халла                               anian xala
Казахмыс                                  kazaxmisi
Ангарский Ермак                           angarski ermaki
Красноярские Рыси                         krasnoiarskie risi
Алтай                                     altai
Рейнджерс                                 reinjersi
Стальные Ижи                              stalnie iJi
ОГИ                                       ogi
Баффало                                   bufalo
Лос-Анджелес                              los-anJelesi
Айлендерс                                 ailendersi
Колорадо                                  kolorado
Нью-Джерси                                niu-jersi
Каролина                                  karolina
Сент-Луис                                 sent-luisi
Калгари                                   kalgari
Кристалл Бдк                              bdk kristali
Тампа-Бэй                                 tampa-bei
Вашингтон                                 vaSingtoni
Оттава                                    otava
Рочестер                                  roCesteri
Уилкс-Берри                               uilks-beri
Торонто                                   toronto
Лэйк Эйри                                 leiq eiri
Кристалл-Юниор                            kristal-iuniori
Даллас                                    dalasi
Эбботсфорд                                ebotsfordi
Милуоки                                   miluoki
Шамони                                    Samoni
Гамильтон                                 hamiltoni
Техас                                     teqsasi
Провиденс                                 providensi
Сент-Джонс                                sent-jonsi
Сан Антонио                               san antonio
Оклахома                                  oklahoma
Херши                                     herSi
Бингемптон                                binhemptoni
Чикаго                                    Cikago
Сборная легионеров (NLA)                  legionerebis nakrebi
Нэшвилл                                   neSvili
Манчестер                                 manCesteri
Портленд                                  portlendi
Гранд-Рапидз                              grand-rapidzi
Рокфорд                                   rokfordi
Словения                                  slovenia
Россия-2                                  ruseTi-2
Дания                                     dania
Австрия                                   avstria
Беларусь                                  belorusia
Латвия                                    latvia
Италия                                    italia
Венгрия                                   ungreTi
Польша                                    poloneTi
Нидерланды                                holandia
Румыния                                   rumineTi
Румыния Б                                 rumineTi b
Коннектикут                               konektikuti
Уорчестер                                 uorCesteri
Бриджпорт                                 brijporti
Адирондак                                 adirondaki
Шарлотт                                   Sarloti
Шеффилд                                   Sefildi
Азиаго                                    aziago
Детройт                                   detroiti
Дунауйварош                               dunaivaroSi
Филадельфия                               filadelfia
Спрингфилд                                springfildi
Олбани                                    olbani
Флорида                                   florida
Хьюстон                                   hiustoni
Эдмонтон                                  edmontoni
Виннипег                                  vinipegi
Норфолк                                   norfolki
Пеория                                    peoria
Сербия                                    serbeTi
Австралия                                 avstralia
Эстония                                   estoneTi
Великобритания                            didi britaneTi
Мексика                                   meqsika
Испания                                   espaneTi
Литва                                     litva
Казахстан                                 yazaxeTi
Хорватия                                  xorvatia
Украина                                   ukraina
Юж. Корея                                 samx. korea
Коламбус                                  kolambusi
Бельгия                                   belgia
Регле                                     regle
Мора                                      mora
Пасифик                                   pasifiki
Квебек                                    kvebeki
Шикзереда                                 Sikzereda
Стяуа                                     stiaua
Канада Запад                              das. kanada
Онтарио                                   ontario
Лександ                                   leqsandi
Бофорс                                    boforsi
Болгария                                  bulgareTi
Китай                                     CineTi
Турция                                    TurqeTi
Исландия                                  islandia
Новая Зеландия                            axali zelandia
Команда Балдериса                         balderisis gundi
Команда Фетисова                          fetisovis gundi
Команда Озолиньша                         ozolinSis gundi
Команда Федорова                          fiodorovas gundi
Сиракьюз                                  sirakiuzi
Команда Хары                              haris gundi
Команда Альфредссона                      alfredsonis gundi
Спорт                                     sporti
ТуТо                                      tuto
Восток                                    aRmosavleTi
Запад                                     dasavleTi
Вестерос                                  vesterosi
Планег                                    planegi
Торнадо                                   tornado
Ку-Ку                                     ku-ku
Комет                                     kometi
Тёнсберг                                  tionsbergi
Оскарсхамн                                oskarshamni
ЮАР                                       sar
Лозанна                                   lozana
Лангенталь                                langentali
Сев. Корея                                Cr. korea
Динамо М                                  dinamo m
Израиль                                   israeli
Крылья Советов                            krilia sovetovi
Феррис Ст.                                feris st.
Юнион Н.Й.                                iunion n.i.
Санкт-Петербург                           sankt-peterburgi
Ирландия                                  irlandia
Греция                                    saberZneTi
Люксембург                                luqsemburgi
Северная Корея                            CrdiloeT korea
Монголия                                  monRoleTi
Шахтер-2                                  Saxtiori 2
Славия Тршебич                            slavia trSebiCi
Кубань                                    yubani
Оломоуц                                   olomouci
Брод                                      brodi
Градец Кр                                 hradeci kr
Бенатки над Йизероу                       benatki nad izerou
Бенатки над Йизероу Б                     benatki nad izerou b
Пльзень                                   plzeni
Северсталь-94                             severstal-94
МХК Атланты                               mxk atlanti
Бейбарыс                                  beibarisi
ТХК                                       txk
Писек                                     piseki
Йиглава                                   iiglava
Тюменский Легион                          tiumenis legioni
Челмет                                    Celmeti
К-Вантаа                                  k-vantaa
Тургау                                    turgau
Локомотив ВХЛ                             lokomotivi vxl
Ватерлоо                                  vaterloo
Садбери                                   sadberi
Кадань                                    kadani
Ландсхут                                  landsxuti
Санок                                     sanoki
Буран                                     burani
Алматы                                    almati
Алтайские Беркуты                         altaiskie berkuti
Горняк                                    gorniaki
Арлан                                     arlani
Команда Ромазана                          romazanis gundi
Иртыш                                     irtiSi
Команда Малкина                           malkinis gundi
Ракета                                    raketa
МХК Энергия                               mxk energia
Патриот                                   patrioti
Прогресс                                  progresi
ЦСК ВВС                                   csk vvs
ХК Челны                                  Celni
Дорнбирн                                  dornbirni
Иннсбрук                                  insbruki
Металургс Лиепаяс                         metalurgs liepaiasi
Сары-Арка                                 sari-arka
Юниор-Минск                               iunior-minski
Мюлуз                                     miuluzi
Арыстан                                   aristani
Астана                                    astana
Сары-Арка-2                               sari arka 2
Барыс-2                                   barisi 2
Казцинк-Торпедо-2                         kazcink torpedo 2
Карлскрона                                karlskrona
Троя Юнгбю                                troia iungbiu
Спутник Алм                               sputniki alm
Молния                                    molnia
Россошь                                   rosoSi
ХК 37 Пьестаны                            xk 37 piestani
Ястребы                                   iastrebi
Юниор-Курган                              iunior kurgani
Юниор-Спутник                             iunior sputniki
Металлург Серов                           metalurg serovi
Призма-Рига                               prizma riga
ХК Белгород                               belgorodi
Платина-Кишинёв                           platina kiSiniovi
Тверичи                                   tveriCi
МХК Лиепаяс Металургс                     mxk liepaias metalurgsi
ХК Дмитров                                xk dmitrovi
Чиксереда                                 Ciksereda
Корона Брашов                             korona braSovi
ХК Новосибирск                            xk novosibirski
Алтай Барнаул                             altai barnauli
Динамо-Харьков                            dinamo xarkovi
Звезды Мос. Области                       moskovis olqis varsk.
Звезды Ночной Лиги                        Ramis ligis varsk.
Летбридж                                  letbriji
Камлупс                                   kamlupsi
Принц Альберт                             princ alberti
Эверетт                                   evereti
Свифт Керрент                             svift kerenti
Саскатун                                  saskatuni
Белый Барс                                beli barsi
Принц Джордж                              princ jorji
Портленд Уинтер Хоукс                     portlend uinter houqsi
Спокан                                    spokani
Сиэтл                                     sietli
Келоуна                                   kelouna
Брэндон                                   brendoni
Виктория                                  viqtoria
Донбасс-2                                 donbasi-2
Аспловен                                  asploveni
Динамо Мск                                dinamo msk
Бремерхавен                               bremerhaveni
Эдмонтон Ойл Кингз                        edmonton oil kingzi
Ред Дир                                   red diri
ХК Славутич                               slavutiCi
Мордовия                                  mordovia
Ванкувер Джайантс                         vankuver jaiantsi
Канада юниоры                             kanadis iuniorebi
Львы                                      lvi
Тингсридc                                 tingsridsi
Кутеней                                   kutenei
Трай-Сити                                 Trai-siTi
Реджина                                   rejina
Медисин Хат                               medisin hati
Мишкольци                                 miSkolci
Уйпешт                                    uipeSti
Нове Замки                                nove zamki
Мус Джо                                   mus jo
Валь Пустериа                             val pusteria
Больцано                                  bolcano
Ференцварош                               ferencvaroSi
Калгари Хитмен                            kalgari hitmeni
Модо                                      modo
Освенцим                                  osvencimi
Ястшембе                                  iastSembe
Фасса                                     fasa
Лиепаяс Металургс                         liepaias metalurgsi
Катовице                                  katovice
Уитби                                     uiTbi
Орора                                     orora
Кристалл Эл                               kristali el.
ХК Брянск                                 brianski
ХК Тамбов                                 tambovi
Сокол Новочебоксарск                      sokol novoCeboksarski
Буревестник                               burevestniki
Рубин-2                                   rubini-2
Ганновер Индианс                          hanover indiansi
Атлантик                                  atlantiki
Стуффвиль                                 stufvili
Ньюмаркет                                 niumarketi
Оранжвилль                                oranJvili
Целль-ам-Зе                               cel-am-ze
Фельдкирх                                 feldkirxi
Сённерйюск                                sioneriuski
Слован У                                  slovani u
Бероунсти Медведи                         berounsti medvedi
Звезды Востока                            aRmosavleTis varskvlavebi
Звезды Запада                             dasavletis varskvlavebi
Аллеге                                    alege
Риттен Спорт                              riten sporti
Палаоро Люстенау                          palaoro liustenau
Брегенцервальд                            bregencervaldi
Вальпелличе                               valpeliCe
Мост                                      mosti
Альмтуна                                  almtuna
Ювяскюля-Акатемиа                         iuvaskiulia akatemia
Пелиитат                                  pelitati
ГКС Тыхы                                  gks tixi
Карлскога                                 karlskoga
Ноттингем                                 notingemi
Кардифф                                   kardifi
Белфаст                                   belfasti
Халл                                      hali
Ковентри                                  qovenTri
Агидель                                   agideli
Арктик-Университет                        arqtik-universiteti
Кедр                                      kedri
Файф                                      faifi
Данди                                     dandi
Понтебба                                  ponteba
Милан                                     milani
Кортина                                   kortina
Сундсвалль                                sundsvali
Кувланд                                   kuvlandi
Брэхэд                                    brehedi
Краковия                                  krakovia
Заглембе Сосновец                         zaglembe sosnoveci
Даб. Доклер                               dab. dokleri
Йокипоят                                  iokipoiati
Бирюса                                    biriusa
Ажуа                                      aJua
Мартиньи                                  martini
ГСК Лионс                                 gsl lionsi
Висп                                      vispi
Олтен                                     olteni
Шо-де-Фон                                 So-de-foni
