Russian Captions                          Georgian Captions
Гэп                                       gepi
Туулын Том Тулнууд                        tuulin tom tulnuudi
Шонхорууд                                 Sonxoruudi
Неймеген                                  neimegeni
Аделаида Юн                               adelaida iun.
Истерн Юнайтед                            istern iunaitedi
Нортерн Тайгерс                           nortern Taigersi
Блэктаун Спартанс                         bleqTaun spartansi
Плэйфорд                                  pleifordi
Аделаида Вайперс                          adelaida vaipersi
Гокулам Керала                            gokulam kerala
Башундара Кингс                           baSundara kingsi
Биргандж Ют                               birganj iut
Планнинг Бойз Юнайтед                     planing boiz iunaitedi
Аврора                                    avrora
ФШМ                                       fSm
Олимпик Кингсуэй                          olimpik kingsuei
Куиннс                                    quinsi
Мбея                                      mbeia
Костал Юнион                              qostal iunioni
Вива Ченнаи                               viva Cenai
Ченнаи Кастомс                            Cenai qasTomsi
Уэст Аделаида                             uest adelaida
Модбери Джетс                             modberi JeTsi
Аделаида Хиллс                            adelaida hilsi
Норт Пайн                                 nort paini
Кокберн Сити                              kokbern siTi
Гвелуп Кроация СК                         gvelup kroacia sk
Эльфсборг                                 elfsborgi
Норрбю                                    norbiu
Утсиктенс                                 utsiktensi
Варберг                                   varbergi
Бунедкор                                  bunedkori
Насаф Карши                               nasaf karSi
Согдиана Джиззак                          sogdiana Jizaki
Коканд 1912                               kokand 1912
Мазия                                     mazia
АТК Мохун Баган                           atk moxun bagani
Тишрин                                    tiSrini
Аль-Найма                                 al-naima
Дофар                                     dofari
Аль-Араби Кувейт                          al-arabi kuveiti
Аль-Ансар                                 al-ansari
Аль-Сиб                                   al-sibi
Гуарани Тринидад                          guarani trinidadi
Фернандо де ла Мора                       fernando de la mora
Экскурсионистас                           eqskursionistasi
Леандро Н. Алем                           leandro n. alemi
Спортиво Итальяно                         sportivo italiano
Сан Мартин Бурсако                        san martin bursako
Расинг Бафусам                            rasing bafusami
Джико                                     jiko
Яунде II                                  iaunde II
Эдинг Спорт                               eding sporti
Юнион Дуала                               iunion duala
Пантер Нде                                panter nde
УМС Лум                                   ums lumi
Котонспорт                                kotonspoti
Арнавуткёй                                arnavutkioi
Артвин Хопаспор                           arTvin xofaspori
Фовю Бахам                                foviu baxami
Викториано Аренас                         viqtoriano arenasi
Атлетико Пуэрто Нуэво                     atletiko puerto nuevo
Акассусо                                  akasuso
Х.Х. де Уркиса                            de urkisa
Гетеборг                                  gioteborgi
Хеккен                                    hekeni
Пюник                                     piuniki
Арарат                                    ararati
Легион Таллин                             legion talini
ФКИ Левадия                               fki levadia
Курессааре                                kuresaare
Нымме Калью                               nime kaliu
Тукумс/Телмс                              tukums/telmsi
Валмиера                                  valmiera
Ауда                                      auda
Мес Рафсанжан                             mes rafsanJani
Лиепая                                    liepaia
Эстеглаль                                 esteglali
Зоб Ахан                                  zob ahani
Нассаджи Мазендеран                       nasaji mazenderani
Интер Турку                               inter turku
Интер Турку II                            inter turku II
Клуби 04                                  klubi 04
ХИК                                       hiki
Аталанта                                  atalanta
Ювентус                                   iuventusi
Атлетико Замба                            atletiko zamba
Академия Креспо                           akademia krespo
Гранитас                                  granitasi
Жальгирис Каунас                          Jalgiris kaunasi
Жилина                                    Jilina
Тренчин                                   trenCini
Эшторил                                   eStorili
Брага                                     braga
Виллем II                                 vilemi II
Дуан Уагадугу                             duan uagadugu
Рахимо                                    raximo
Обориште                                  oboriSte
Надежда Доброславци                       nadeJda dobroslavci
Рашин II                                  raSin II
Пшишлосць Влохы                           pSiSlosc vloxi
Солин                                     solini
Кроация Змиявци                           kroacia zmiavci
Медельин Сити                             medelin siTi
Эстудиантес Медельин                      estudiantes medelini
Леонес ФК II                              leones II
Атлетико Н II                             atletiko n II
Балашиха II                               balaSixa II
Купавна                                   kupavna
Таммека                                   tameka
Хелиос Тарту                              helios tartu
Младость ДГ                               mladost dg
Беране                                    berane
Ком Подгорица                             kom podgorica
Цетине                                    cetine
Астр Дуала                                astr duala
Апеджес Академи                           apajes akademi
Тоннерр Яунде                             toner iaunde
Канон Яунде                               kanon iaunde
Авьон Академи                             avion akademi
Нью Стар                                  niu stari
Бамбутос Мбуда                            bambutos mbuda
Казма СК                                  kazma
Аль-Салмия                                al-salmia
СШОР №1 Московского р-на СПБ              sSor №1 moskovis r-ni spb
Нева СПб                                  neva spb
Уракан                                    urakani
Спортинг Уэльва                           sporting uelva
Брейдаблик                                breidabliki
Валюр                                     valiuri
Сутьеска                                  sutieska
Морнар Бар                                mornar bari
Джебла                                    jebla
Кайзерслаутерн                            kaizerslauterni
Галифакс                                  galifaqsi
Честерфилд                                Cesterfildi
Стриндхейм                                strindheimi
Крисиума                                  krisiuma
Камбориу                                  kamboriu
Кевийи РМ                                 kevii rm
Эстудиантес                               estudiantesi
Ланус                                     lanusi
Эстудиантес БА                            estudiantes ba
Атланта                                   atlanta
Сакачиспас                                sakaCispasi
Депортиво Мерло                           deportivo merlo
Депортиво Арменио                         deportivo armenio
Колехиалес                                kolexialesi
Каньюэлас                                 kaniuelasi
Серро Монтевидео                          sero montevideo
Атенас Сан Карлос                         atenas san karlosi
Катвейк                                   katveiki
Эйсселмервогелс                           eiselmervogelsi
Трефферс                                  trefersi
Монтевидео Уондерерс                      montevideo uonderersi
Монтевидео Сити Торке                     montevideo siTi torke
Пласа Колония                             plasa kolonia
Пеньяроль                                 peniaroli
Далвик/Рейнир                             dalvik/reiniri
Тор                                       tori
Копавогур ХК                              kopavoguri xk
Гроутта                                   grouta
Хвити Риддаринн                           hviti ridarini
Гриндавик                                 grindaviki r
Рейкьявик                                 reikiaviki
Магни                                     magni
Ден Хааг                                  den haagi
Викингур Р                                vikinguri
Депортиво Мадрин                          deportivo madrini
Гранадилья                                granadilia
Ист Риффа                                 isT rifa
Хилаль Аль-Кудс                           hilal al-kudsi
Аль-Риффа Бахрейн                         al-rifa bahreini
Шабаб Аль-Халил                           Sabab al-halili
Аль-Кувейт                                al-kuveiti
Динамо Дрезден                            dinamo drezdeni
Мельхус                                   melxusi
1 Марта ФДЛМ                              1 marti fdlm
Амстердам                                 amsterdami
Эксельсиор Масслёйс                       aqselsior maslioisi
Депортиво Умайта                          deportivo umaita
Маккаби Хайфа                             makabi haifa
Карригалин Юнайтед                        karigalin iunaitedi
Мидлтон                                   midltoni
Паге Менош                                pege menoSi
Карири                                    kariri
Вильфранш                                 vilfranSi
Комуникасьонес БА                         komunikasiones ba
Вилья Эспаньола                           vilia espaniola
Улфарнир                                  ulfarniri
РБ Кефлавик                               rb keflaviki
Филкир                                    filkiri
Кордренгир                                kordrengiri
КМ Рейкьявик                              km reikiaviki
КА Асвеллир                               ka asveliri
Скаутафелаг Рейкьявикюр                   skautafelag reikiavikiuri
Леттир                                    letiri
Пасифик БК                                pasifik bk
Йорк 9                                    iork 9
Твенте                                    tvente
АЗ                                        az
Одиша Полис                               odiSa polisi
Ханс                                      xansi
Виктори                                   viqtori
Фронтьер                                  frontieri
Истанбулспор                              istanbulspori
Арна-Бьёрнар                              arna-biornari
Кольботн                                  kolbotni
Стабек                                    stabeki
Волеренга                                 volerenga
Бранн                                     brani
Роа                                       roa
Русенборг                                 rusenborgi
Лиллестрём                                lilestriomi
Люн                                       liuni
Авальдснес                                avaldsnesi
Динамо Тбилиси                            dinamo Tbilisi
Калев Таллин                              talinis kalevi
Пайкан                                    paikani
Трактор Сази                              traqtor sazi
Фаджр Сепаси                              fajr sepasi
Нафт МИС                                  mis nafti
Санат Нафт                                sanat nafti
Тлемсен                                   tlemseni
ЕС Сетиф                                  setifi
Аль-Дафра                                 al-dafra
Ильвес-Киссат                             ilves-kisati
Япс                                       iapsi
Комеэтат                                  komeetati
ХЯС Академия                              xis akademia
Киффен                                    kifeni
ВПС                                       vps
ВЖС                                       vJs
Йиппо                                     iippo
Атлантис                                  atlantisi
ЭПС                                       eps
Мариехамн                                 mariehamni
Оулу                                      oulu
Ильвес II                                 ilves II
МП                                        mp
Яро                                       iaro
СИК Академия                              sik akademia
СИК                                       siki
Лахти                                     lahti
Железничар Панчево                        JelezniCar panCevo
Раднички 1923                             radniCki 1923
Германия                                  germania
Франция                                   safrangeTi
Кальяри                                   kaliari
Сампдория                                 sampdoria
Этуаль Сахель                             etual saheli
Судува                                    suduva
Банга                                     banga
Металурджистул Куджир                     metalurjistul kujiri
Фореста Сучава                            foresta suCava
Оцелул                                    oceluli
Тунари                                    tunari
Афумаци                                   afumaci
Орадя                                     oradia
Радуня Стенжица                           radunia stenJica
Сливнишки герой                           slivniSki geroi
Дунав Русе                                dunav ruse
Витоша Бистрица                           vitoSa bistrica
Сигма Оломоуц В                           sigma olomouci b
Слован Росице                             slovan rosice
Уничов                                    uniCovi
Вратимов                                  vratimovi
Бланско                                   blansko
Глучин                                    gluCini
Злин В                                    zlini II
Отроковице                                otrokovice
Словацко B                                slovacko II
Велке Мезиржичи                           velke mezirJiCi
Йиглава В                                 iiglava b
Угерски-Брод                              ugerski brodi
Баник Острава Б                           banik ostrava b
Фридек-Мистек                             fridek misteki
Зноймо                                    znoimo
Шкендия                                   Skendia
Истатов                                   istatovi
Братство Грачаница                        bratstvo graCanica
Габела                                    gabela
Расинг Монтевидео                         rasing montevideo
Адмира Филлах                             admira filaxi
Омония Никосия                            omonia niqosia
Этникос Ахна                              eTnikos axna
Слован Дусло                              slovan duslo
Нитра                                     nitra
Спартак Миява                             spartak miava
Викинг                                    vikingi
Хам-Кам                                   ham-kami
Одд                                       oddi
Саннефьорд                                sanefiordi
Кристиансунн                              kristiansuni
Тромсе                                    tromse
Будё-Глимт                                budio-glimti
Стрёмсгодсет                              striomsgodseti
Олессун                                   olesuni
Ерв                                       ervi
Оренбург                                  orenburgi
Уфа                                       ufa
Эрзурумспор ББ                            erzurumspor bb
Узбекистан                                uzbekeTi
Таджикистан                               tajikeTi
Телави                                    Telavi
Пярну Вапрус                              piarnu vaprusi
Алюминиум Арак                            aliuminium araki
Аль-Уруба                                 al-uruba
ПК-35 Хельсинки                           pk-35 helsinki
ХаПК                                      hapk
КС Сфаксиен                               ks sfaqsieni
Трансинвест                               transinvesti
Йонава                                    ionava
Пирош Секьюрити                           piroS seqiuriTi
Прунду-Быргэулуй                          prundu birgeului
Слога Пожега                              sloga poJega
Будучность Ариле                          buduCnost arile
Таково                                    takovo
Ыгдыр Беледиеспор                         igdir belediespori
Искендерунспор                            iskenderunspori
Поважска Быстрица                         povaJska bistrica
Злате-Моравце II                          zlate moravce II
Малженице                                 malJenice
Белуша                                    beluSa
Частковце                                 Castkovce
Темпо Партизанске                         tempo partizanske
Клагенфуртер                              klagenfurteri
Ла Лус                                    la lusi
Атлетик Карпи                             atletik karpi
Равенна                                   ravena
Клепардиа Краков                          klepardia krakovi
Уния Освенцим                             unia osvencimi
Деспина Прилеп                            despina prilepi
Имель                                     imeli
Люботен                                   liuboteni
Топ Гол                                   top goli
Тиверия Струмица                          tiveria strumica
Единство Уб                               edinstvo ub
Млади Радник                              mladi radniki
Реал Подунавци                            real podunavci
Вииторул Дээшти                           viitorul deeSti
Одорхею-Секуеск                           oderxeiu-sekueski
Минаур Байя Маре                          minaur baia mare
Пучоаса                                   puCoasa
КСМ Слатина                               ksm slatina
Хунедоара                                 xunedoara
КСМ Дева                                  ksm deva
Врховина                                  vrxovina
Реканатезе                                rekanateze
Сан-Донато Таварнелле                     san-donato tavarnele
Костинброд                                kostinbrodi
Прогресул Спартак 1944                    progresul spartak 1944
Попешти-Леордени                          popeSti leordeni
Думбрэвица                                dumbrevica
Леопард Дуала                             leopard duala
Нгаундере                                 ngaundere
Транс Нарва                               trans narva
Флора                                     flora
Рух Хожув                                 rux xoJuvi
Ледойе-Смёрум                             ledoie smiorumi
Каан-Мариенборн                           kaan marienborni
Падерборн II                              paderborn II
Айнтрахт Мальсдорф                        aintraxt malsdorfi
Нойштрелиц                                noiStrelici
Кёттманнсдорф                             kiotmansdorfi
АСК Клагенфурт                            ask klagenfurti
Лундс                                     lundsi
Лудеш                                     ludeSi
Альтах II                                 altax II
Альбершвенде                              alberSvende
СВ Лохау                                  sv loxau
Б 1908                                    b 1908
Торнс                                     tornsi
Венло                                     venlo
Надрога                                   nadroga
Таилеву Наитасири                         tailevu naitasiri
Лиллехаммер                               lilehameri
Берум                                     berumi
ЕИФ                                       eif
Херлев                                    herlevi
Слагелсе                                  slagelse
Ванлёсе                                   vanliose
Фрем                                      fremi
Роскилле                                  roskile
Люсенг                                    liusengi
Далум                                     dalumi
Русенгорд                                 rusengordi
Эстерленс                                 esterlensi
Оазис Клуб                                oazis klubi
Кукс Хилл Юнайтед                         kuks hil iunaitedi
Лэйк Маккуори                             leiq makkuori
Конту                                     kontu
ТП-47                                     tp-47
Фредерикссунн                             frederiksuni
Ольборг II                                olborgi II
Кьеллеруп                                 kiolerupi
Рингкёбинг                                ringkiobingi
Хорн                                      horni
Штурм                                     Sturmi
Грайфсвальдер                             graifsvalderi
Миддельфарт                               midelfarti
Брабранд                                  brabrandi
Скиве                                     skive
ФА 2000                                   fa 2000
Тистед                                    tistedi
Хиллерёд                                  hileriodi
ХИК Хеллеруп                              hik helerupi
АБ Копенгаген                             ab kopenhageni
Б93                                       b93
Нествед                                   nestvedi
Тхимпху Сити                              tximpxu siTi
Паро                                      paro
Эскилсминне                               eskilsmine
Хиттарпс                                  hitarpsi
Хускварна                                 huskvarna
Слейпнир                                  sleipniri
Смедбю АИС                                smedbiu ais
Боден                                     bodeni
Фриска Вийор                              friska viiori
Гранкулла                                 grankula
Ильвес                                    ilvesi
ТПС                                       tps
Ст. Пёльтен                               st. piolteni
Нойленгбах                                noilengbaxi
Энгельхолмс                               engelholmsi
Линдуме                                   lindume
Арагви Душети                             aragvi duSeTi
Динамо Тбилиси II                         dinamo Tbilisi IIs
Янг Бойз ФД                               iang boiz fd
КФУМ Роскилле                             kfum roskile
Карлслунде                                karlslunde
ВСК Орхус                                 vsk orhusi
Несбю                                     nesbiu
Берга                                     berga
Носабю                                    nosabiu
Ариана                                    ariana
Реппе ГОИФ                                repe goif
Тёолён Таисто                             tiolion taisto
РоПо                                      ropo
Урэдд                                     uredi
Виндбьярт                                 vindbiarti
Ишой                                      iSoi
ХВВ Голландия                             hvv holandia
Юнитас                                    iunitasi
Кируна                                    kiruna
Сторфорс                                  storforsi
Сунд                                      sundi
Умео Академи                              umeo akademi
АСА Орхус                                 asa orhusi
Айнтрахт Штансдорф                        aintraxt Stansdorfi
Дорнбрайте                                dornbraite
Фризия                                    frizia
Варберг ГИФ                               varberg gif
Тёло                                      tiolo
Вестра Фрёлунда                           vestra friolunda
Астрио                                    astrio
Севедаленс                                sevedalensi
Хёганес                                   hioganesi
Ландветтер                                landveteri
Тбилиси Сити                              Tbilisi siTi
Гори                                      gori
Мешахте                                   meSaxte
Боржоми                                   borjomi
ПСВ Эйндховен                             psv eindhoveni
Аякс                                      aiaqsi
Наполи                                    napoli
Дженоа                                    jenoa
ХСК 1921                                  hsk 1921
УНА                                       una
БВ Фельдкирх                              bv feldkirxi
Бицау                                     bicau
Умео                                      umeo
Тебю                                      tebiu
Нордвейк                                  nordveiki
ТЕК ВВ                                    tek vv
Харденберг                                hardenbergi
Алтид Стеркер                             altid sterkeri
КЯП                                       kiap
СалПа                                     salpa
Кварнсведен                               kvarnsvedeni
Ярфалла                                   iarfala
Сандвикс                                  sandviksi
Элгарна                                   elgarna
Васалунд                                  vasalundi
ТГ ФФ                                     tg ff
Спакенбург                                spakenburgi
Схевенинген                               sheveningeni
Козаккен Бойз                             kozaken boizi
Куик Бойз                                 quik boizi
Хаммарбю                                  hamarbiu
Мальмё                                    malmio
Оденсе                                    odense
Мидтъюлланн                               midtiulani
Гиждуван                                  giJduvani
Янгиер                                    iangieri
Рот-Вайс Франкфурт                        rot-vais frankfurti
Родгау                                    rodgau
Германия 06 Шванхайм                      germania 06 Svanxaimi
Валлуф                                    valufi
ТУС Мехтерсхайм                           tus mextersxaimi
Айнтрахт Трир                             aintraxt triri
Родина Москва-М                           rodina moskovi-m
Троицк                                    troicki
Танзания Призонс                          tanzania prizonsi
Геита Голд                                geita goldi
Нордвермланд                              nordvermlandi
Гаутиод                                   gautiodi
Мьельбю АИ ФФ                             melbiu ai ff
Сеффле                                    sefle
Кунгсенген                                kungsengeni
Худиксвалльс                              hudiksvalsi
ИФК Уппсала                               ifk upsala
