Russian Captions                          Georgian Captions
Фиджи-7                                   fiji-7
Лайонс                                    laionsi
Уоркингтон Таун                           uorkington Tauni
Аргентина-7                               argentina-7
Франция-7                                 safrangeTi-7
Новая Зеландия-7                          axali zelandia-7
Л'Акуила                                  l'aquila
РЛФК Донкастер                            rlfk donkasteri
Норт Квинсленд Каубойс                    norT qvinslend qauboisi
Кавальери                                 kavalieri
Ровиго Дельта                             rovigo delta
Саутерн Кингс                             sauTern kingsi
Плимут Альбион                            plimuT albioni
Саут Уэльс Скорпионс                      sauT uels skorpionsi
Норт Уэльс Крузейдерс                     norT uels kruzeidersi
Лидс Карнеж                               lids karneJi
Барбариан                                 barbariani
Сборная Британии и Ирландии               britaneTis da irlandiis nakrebi
Квинсленд                                 qvinslendi
Вестерн Форс                              vestern forsi
Аргентина-2                               argentina 2
Филиппины-7                               filipinebi-7
Уругвай-7                                 urugvai-7
Гонконг-7                                 honkongi-7
Россия-7                                  ruseTi-7
Зимбабве-7                                zimbabve-7
Япония-7                                  iaponia-7
Рочдейл Хорнетс                           roCdeil horneTsi
РЛФК Олдхэм                               rlfk oldhemi
Лондон Сколарс                            london skolarsi
Бургуин                                   burguini
Бурк-ан-Брес                              burk-an-bresi
Острова Кука                              kukis kunZulebi
Френч Барбариан                           frenC barbariani
Оксфорд                                   oqsfordi
Кембридж                                  kembriji
Виадана                                   viadana
Англия-2                                  inglisi-2
Ирландия-2                                irlandia-2
Нью Зиленд Уорриорз                       niu zilend uoriorzi
США-7                                     aSS-7
Тринидад и Тобаго-7                       trinidadi da tobago-7
Хемел Стагс                               hemel stagsi
Испания                                   espaneTi
Крайстчерч Крузейдерс                     kraistCerC kruzeidersi
Казахстан                                 yazaxeTi
Глостершайр                               glosterSairi
Гейтсхед Тандер                           geiTshed Tanderi
Истерн Провинс Кингс                      istern provins kingsi
Оксфорд РЛФК                              oqsfordi rlfk
Монтобан                                  montobani
Нью Зилэнд Маори                          niu ziland maori
Санвулвс                                  sanvulvsi
Хагуарес                                  xaguaresi
Ойонна                                    oiona
Кентербери Булдогс                        kenterberi buldogsi
Голд Коаст Тайтенс                        gold qost taitensi
Германия-7                                germania-7
Шри-Ланка-7                               Sri-lanka-7
Мэнли Си Иглз                             menli si iglzi
Ли Сенчурионс                             li senCurionsi
Фезерстоун Роверс                         fezerstoun roversi
РЛФК Олдем                                rlfk oldemis
Саут Сидней Рэббитос                      sauT sidnei rebitosi
Канберра Викингс                          kanbera vikingsi
Кантри Иглз                               kantri iglzi
Квинсленд Кантри                          qvinslend qanTri
Сидней Рейс                               sidnei reisi
Хокс Бэй                                  hoqs bei
Нортгэмптон Сэйнтс                        norThempton seinTsi
Тулуза Олимпик                            tuluza olimpiki
Солфорд Рэд Дэвилc                        selford red devilsi
Перт Спирит                               pert spiriti
Кентербери                                kenterberi
Кентербери Бульдогс                       kanterberi buldogsi
Кентербери Бульдогс 2                     kanterberi buldogsi 2
Бельгия-7                                 belgia-7
Редклифф Долфинз                          redklif dolfinzi
Истс Тайгрес                              ists Taigresi
Польша-7                                  poloneTi-7
Сент-Джордж Дрэгонс                       sent-jorj dregonsi
Грейтер Сидней Рамс                       greiter sidnei ramsi
Папуа-Новая Гвинея                        papua-axali gvinea
Ливан                                     livani
Уганда-7                                  uganda-7
Нью Зиленд Уорриорс                       niu zilend uoriorsi
Эксетер                                   eqseteri
Хаддерсфилд Джайентс                      hadersfild jaienTsi
Вайонг Рус                                vaiong rusi
Нью Зиленд Уорриорс 2                     niu zilend uoriorsi 2
Ирландия-7                                irlandia-7
Китай-7                                   CineTi-7
Саутс Логан Мэгпис                        sauTs logan megpisi
Илливарра                                 ilivara
Италия-7                                  italia-7
Френч Барбарианс                          frenC barbariansi
Ковентри Беарз                            qovenTri bearzi
Ньюкасл Тандер                            niukasl Tanderi
Кентербери 2                              kenterberi 2
Брисбен Сити                              brisben siTi
Фиджиан Друа                              fijian drua
НСВ Варатас                               nsv varatasi
Ньютаун                                   niuTauni
Пенрит Пантерс 2                          penrit panTersi 2
Норт Сидней                               norT sidnei
Вентвортвилл                              ventvortvili
Брив                                      brivi
ПНГ Хантерс                               png hantersi
Маккей Каттерс                            makei katersi
Норт Дэвилс                               norT devilsi
Твид Хэдс Сигаллс                         tvid heds sigalsi
Виннум Мэнли Сигаллс                      vinum menli sigalsi
Саншайн Коаст Фалконс                     sanSain qoast falkonsi
Таунсвиль Блэкхоукс                       Taunsvil bleqhouqsi
Маунтис                                   mauntisi
Ньюкасл Найтс 2                           niukasl naiTsi 2
Нозерн Прайд                              nozern praidi
Берли Беарс                               berli bearsi
Капрас                                    kaprasi
Сент-Джордж Дрэгонс 2                     sent-jorj dregonsi 2
Ипсвич Джетс                              ifsviC jeTsi
Саут Сидней Рэббитос 2                    sauT sidnei rebitos 2
Франция-9                                 safrangeTi-9
Ливан-9                                   libani-9
Новая Зеландия-9                          axali zelandia-9
Англия-9                                  inglisi-9
Великобритания                            didi britaneTi
Великобритания-7                          didi britaneTi-7
Тойота Верблиц                            toiota verblici
Хино Ред Долфинс                          xino red dolfinsi
Хонда Хит                                 honda hiti
Рико Блек Ремс                            riko bleq remsi
НТТ Шайнинг Аркс                          ntt Saining arksi
Вестерн Сабёрбс Мегпайс                   vestern sabiorbs megpaisi
Металлург                                 metalurgi
ВВА-Подмосковье                           vva-podmoskovie
Маори Олл Блэкс                           maori ol bleqi
Моана Пасифика                            moana pasifika
Ленстер                                   lensteri
НГ Дрэгонс                                ng dregonsi
Лондон Уоспс                              london uospsi
Тошиба Брейв Лупус                        toSiba breiv lupusi
