Russian Captions                          Georgian Captions
Зозия Кардава                             z. qardava
Рассковская Л.                            l. raskovskaia
Шакирова Д.                               d. Sakirova
Десаи З.                                  z. desai
Анастасия Пономарёва                      a. ponomariova
Ян Иди                                    i. idi
София Милатова                            s. milatova
Билли Харрис                              b. harisi
Андрей Чепелев                            a. Cepelevi
Луис Весселс                              l. veselsi
Алдин Сеткич                              a. setkiCi
Фортин М.-А.                              m.-a. fortini
Сингх К.                                  k. singxi
Ли Чжэ                                    CJe li
Алекс Эрнандес Серрано                    a. e. serano
Сенка Делетич                             s. deletiCi
Тамара Малешевич                          t. maleSeviCi
Марина Стакушич                           m. stakuSiCi
Шира Чиче                                 S. CiCe
Аракава Н.                                n. arakava
Павлова К.                                k. pavlova
Файстель Дж.                              j. faisteli
Дубинин А.                                a. dubinini
Аман Шарма                                a. Sarma
Василяускас М.                            m. vasiliauskasi
Рюки Мацуда                               r. macuda
Де Винчентис М.                           m. de vinCentisi
Дали Бланч                                d. blanCi
Кхололвам Монтси                          k. montsi
Кёниг Л.                                  l. kionigi
Шлагенхауф Н.                             n. Slagenhaufi
Ильницкий С.                              s. ilnicki
Георгий Кравченко                         g. kravCenko
Петр Брунцлик                             p. bruncliki
Антонин Болардт                           a. bolardti
Анджейчак Б.                              b. anjeiCaki
Ричардас Беранкис                         r. berankisi
Ласло Джере                               l. jere
Факундо Багнис                            f. bagnisi
Даниил Медведев                           d. medvedevi
Жуан Соуза                                J. souza
Цзэн Чунь Синь                            Cun sin czeni
Денис Шаповалов                           d. Sapovalovi
Хольгер Руне                              h. rune
Эмиль Руусувуори                          e. ruusuvuori
Юго Умбер                                 i. umberi
Тесса Андрианжафитримо                    t. andrianJafitrimo
Каролина Плишкова                         k. pliSkova
Лючия Бронцетти                           l. bronceti
Елена Остапенко                           e. ostapenko
Крунич A.                                 a. kruniCi
Рахимова К.                               k. raximova
Даниэль Коллинс                           d. kolinsi
Томова В.                                 v. tomova
Дмитрий Попко                             d. popko
Сальваторе Карузо                         s. karuzo
Олег Приходько                            o. prihodko
Дженаро Оливьери                          j. olivieri
Душан Обрадович                           d. obradoviCi
Кастаньола Л.                             l. kastaniola
Георгита Т. С.                            t. s. georgita
Игнат Д.К.                                d. k. ignati
Джорджеску М.А.                           m. a. jorjesku
Брина Сулин                               b. sulini
Бьянка Бегулова                           b. begulova
Йелле Селс                                i. selsi
Матеус Пусинелли                          m. pusineli
Стивен Диес                               s. diesi
Фредерику Феррейра Силва                  f. f. silva
Шазаль М.                                 m. Sazali
Райцевич Д.                               d. raiceviCi
Мартин Дамм                               m. dami
Юрайда А.                                 a. iuraida
Деннис Драгомиров                         d. dragomirovi
Ваттерони Л.                              l. vateroni
Попеанга Д.П.                             d. p. popeanga
Апостол Б.И.                              b. i. apostoli
Мадараш Д.Н.                              d. n. madaraSi
Антонеску В.                              v. antonesku
Филип В.                                  v. filipi
Горанссон А.                              a. goransoni
Маклахлан Б.                              b. maklaxlani
Скупски Н.                                n. skupski
Колхоф В.                                 v. kolhofi
Ван Де Зандшульп Б.                       b. van de zandSulpi
Бризу В.К.                                v. k. brizu
Казаку Д. Н.                              d. n. kazaku
Камилла Рахимова                          k. raximova
Александра Крунич                         a. kruniCi
Виктория Томова                           v. tomova
Ройер Ж.-Ж.                               J.-J. roieri
Освальд Ф.                                f. osvaldi
Мольтени А.                               a. molteni
Вега Эрнандес Д.                          d. vega ernandesi
Хах Вердуго Х.                            h. hax verdugo
Александр Ричард                          a. riCardi
Марсело Барриос Вера                      m. b. vera
Мектич Н.                                 n. mektiCi
Павич М.                                  m. paviCi
Гонсалес С.                               s. gonsalesi
Матос Р.                                  r. matosi
Аревало М.                                m. arevalo
Грикспор Т.                               t. grikspori
Захарова Эл.                              el. zaxarova
Секейра М.                                m. sekeira
Синдзи Хадзава                            s. xaZava
Джулиан Кэш                               j. keSi
Великова Д.                               d. velikova
Пенчева Л.                                l. penCeva
Исварамурти А.                            a. isvaramurti
Нармонт Х.                                h. narmonti
Кусенкова В.                              v. kusenkova
Дайсон К.                                 k. daisoni
Сюнь Фан Ин                               fan in siuni
Мария Михаилова                           m. mixailova
Вольфф В.                                 v. volfi
Джесси Эни                                j. eni
Кузмова К.                                k. kuzmova
Пислак М.                                 m. pislaki
Поль Дель Кастильо                        p. d. kastilio
Брамахо С.                                s. bramaxo
Буэно Хиль А.                             a. bueno hili
Кабрера Бельо И.                          i. kabrera belio
Бруно Пуйоль Наварро                      b. f. navaro
Габарро Х.                                x. gabaro
Марсело Зорманн                           m. zormani
Асьер Сивера Мартинес                     a. s. martinesi
Фехр Н.                                   n. fexri
Небельска У.                              u. nebelska
Ауджелло М.                               m. aujelo
Спери А.                                  a. speri
Лулу Сунь                                 l. suni
Юстина Микульските                        i. makulskite
Фалей А.                                  a. falei
Катлин Канев                              k. kanevi
Джоанна Гарланд                           j. garlandi
Александра Осборн                         a. osborni
Баласубраманиан К.                        k. balasubramaniani
Жабраилова М.                             m. Jabrailova
Овчаренко Е.                              e. ovCarenko
Сухотина А.                               a. suxotina
Ямагути М.                                m. iamaguti
Зизу Бергс                                z. bergsi
Рудольф Моллекер                          r. molekeri
Абдеррахман В.                            v. abderaxmani
Ли Ханьвэнь                               xanven li
Сунь Фацзин                               faczin suni
Хо Рэй                                    rei xo
Серафини М.                               m. serafini
Руджери С.В.                              s. v. rujeri
Цебич Ф.                                  f. cebiCi
Чжоу Сянь Яо                              i. s. CJou
Николас Давид Йонел                       n. d. ioneli
Ванта В.                                  v. vanta
Екатерина Александрова                    e. aleksandrova
Грет Миннен                               g. mineni
Алекс Молчан                              a. molCani
Федерико Кориа                            f. koria
Готье Онклен                              g. onkleni
Денис Клок                                d. kloki
Даниель Дутра Силва                       d. d. silva
Николас Морено Де Альборан                n. m. de alborani
Маттео Арнальди                           m. arnaldi
Титуэн Дроге                              t. droge
Эрик Ваншелбойм                           e. vanSelboimi
Постолка Р.                               r. postolka
Якуб Филип                                i. filipi
Тепмак Н.                                 n. tepmaki
Гейдж Браймер                             g. braimeri
Матье Скалья                              m. skalia
Эйза-бейджи М.                            m. eiza-beiji
