Russian Captions                          Georgian Captions
Литувос Ритас                             lituvos ritasi
Будучность                                buduCnosti
Шарлеруа                                  Sarlerua
Донецк                                    donecki
ПАОК                                      paoki
Туров                                     turovi
Каухайоен Карху                           kauhaioen karhu
Салон Вильпас                             salon vilpasi
Вентспилс                                 ventspilsi
Лиепаяс Лаувас                            liepaias lauvasi
Лион-Виллербанн                           lion-vilerbani
Гравелин                                  gravelini
Каха Лабораль                             kaxa laborali
Банвитспор                                banvitspori
Реал М                                    reali m
Анвил Влоцлавек                           anvil vloclaveki
Каунас                                    kaunasi
Эфес Пилсен                               efes pilseni
Панатинаикос                              panaTinaikosi
Гюссинг                                   giusingi
Вена                                      vena
Раиффайзен Вельс                          raifaizen velsi
Нептунас                                  neptunasi
Техасас                                   teqsasasi
Химик                                     ximiki
Одесса                                    odesa
Черкасские Обезьяны                       Cerkaskie obeziani
Черкасские Обезьяны 2                     Cerkaskie obeziani 2
Политехника-Галичина                      politexnika-galiCina
Острава                                   ostrava
Дечин                                     deCini
УСК Прага                                 usk praRa
Интер Братислава                          inter bratislava
Колин                                     kolini
Локомотив Пльзень                         lokomotiv plzeni
Маккаби Т-А                               makabi t-a
Олимпиакос                                olimpiakosi
Телеком Бонн                              telekom boni
Бавария                                   bavaria
Хаген                                     xageni
Вюрцбург                                  viurcburgi
Трир                                      triri
Людвигсбург                               liudvigsburgi
Гессен                                    heseni
Скайлайнерс                               skailainersi
ДнепрАЗОТ                                 dneprazoti
Полфарма                                  polfarma
Проком                                    prokomi
Капфенберг                                kapfenbergi
Будивельник                               budivelniki
Говерла                                   goverla
Байройт                                   bairoiti
Ульм                                      ulmi
Златорог                                  zlatorogi
Спартак-Приморье                          spartak-primorie
Северсталь                                severstali
Университет                               universiteti
Урал                                      urali
Рускон-Мордовия                           ruskon-mordovia
Наглис                                    naglisi
Эта Энкоми                                eta enkomi
Киев                                      kievi
Ферро-ЗНТУ                                fero-zntu
Дексия                                    deqsia
Бешикташ                                  beSiqTaSi
Цедевита                                  cedevita
Шалон                                     Saloni
Ле-Ман                                    le-mani
Каршияка                                  karSiaka
КБ Сэйверс                                seiversi
Самсунг Бичуми                            samsung biCumi
Шопинас Кликерс                           Sopinas klikersi
Донгбу Промы                              dongbu promi
Самсунг Сандерз                           samsung sanderzi
Мобис Фоебус                              mobis foebusi
КТ Соникбум                               kt sonikbumi
КТ Соникбум 2                             kt sonikbumi 2
Остенде                                   ostende
Норрчёпинг Долфинс                        norCioping dolfinsi
Вури Хансэ                                vuri xanse
Синсегэ Кулкэт                            sinsege kulketi
Эрдемир                                   erdemiri
Бандирма Кирмизи                          bandirma kirmizi
СК Найтс                                  sk naiTsi
КГК Кайтс                                 kgk kaiTsi
Эгис                                      egisi
Блэк Слэймер                              bleq sleimeri
Арис                                      arisi
Тофас                                     tofasi
Олин Генчлик                              olin genCliki
Анталия                                   antalia
Шяуляй                                    Siauliai
Азовмаш                                   azovmaSi
МБК Николаев                              mbk nikolaevi
Сакалай                                   sakalai
Мерсин                                    mersini
Баккен                                    bakeni
Нествед                                   nestvedi
Барако Булл                               barako buli
Мельбурн                                  melburni
Сидней Кингз                              sidnei kingzi
Голд Коаст                                gold qoasti
Н.Зеландия                                a.zelandia
Сэйкерс                                   seikersi
Орионс                                    orionsi
КТП                                       ktp
Лахти                                     lahti
Пено Жвайгждес                            peno JvaigJdesi
Лойвен                                    loiveni
Генерали Окапи                            generali okapi
Льеж                                      lieJi
Остуни                                    ostuni
Энел Бриндизи                             enel brindizi
ПСЖ-Леваллуа                              psJ-levalua
Гавр                                      havri
Динамо-ГУВД                               dinamo-guvd
Вологда-Чеваката                          vologda-Cevakata
Ниигата                                   niigata
Синсю                                     sinsiu
Спарта энд К                              sparta end k
Лаппеенранта                              lapeenranta
ТЕМП-СУМЗ                                 temp-sumz
Кривбассбаскет                            krivbasbasketi
Загреб                                    zagrebi
Валмиера                                  valmiera
Ювентус                                   iuventusi
Энергия                                   energia
Нявежис                                   niaveJisi
Усти над Лабем                            usti nad labemi
Цр. Звезда                                cr. zvezda
Кахасоль                                  kaxasoli
Терамо                                    teramo
Застал                                    zastali
Познань                                   poznani
Кошалин                                   koSalini
Котвица                                   kotvica
Тарнобжег                                 tarnobJegi
Энерга Слупск                             energa slupski
Роанн                                     roani
Свитави                                   svitavi
Йокогама                                  iokohama
Хамамацу                                  xamamacu
Вуллонгонг                                vulongongi
Манреса                                   manresa
Ховентуд                                  hoventudi
Аликанте                                  alikante
Лагун Аро                                 lagun aro
Обрадойро                                 obradoiro
Мурсия                                    mursia
Фуэнлабрада                               fuenlabrada
