Jonathan Erlich                           j. erlixi
Caroline Wozniacki                        k. vozniacki
C. Wozniacki                              k. vozniacki
Varvara Lepchenko                         v. lepCenko
Michael Berrer                            m. bereri
Michael Russell                           m. raseli
Jan Hajek                                 i. haieki
Thiago Alves                              t. alveSi
Kristina Barrois                          k. baroisi
Victoria Azarenka                         v. azarenka
Anastasia Rodionova                       a. rodionova
Vania King                                v. kingi
David Guez                                d. guezi
Frederico Gil                             f. Jili
Gastao Elias                              g. eliasi
Pedro Sousa                               p. sousa
Andre Sa                                  a. sa
Scott Lipsky                              s. lipski
Simon Stadler                             s. stadleri
Andreas Beck                              a. beqi
Horacio Zeballos                          h. zebalosi
Lukas Rosol                               l. rosoli
Dominik Meffert                           d. meferti
Lamine Ouahab                             l. uahabi
Viktor Troicki                            v. troicki
Haithem Abid                              h. abidi
Victor Crivoi                             v. krivoi
Andrey Golubev                            a. golubevi
Golubev, Andrey                           a. golubevi
Leonardo Mayer                            l. maieri
Anabel Medina                             a. medina
Karin Knapp                               k. knapi
Fabio Fognini                             f. fonini
Nikola Mektic                             n. mektiCi
Simone Vagnozzi                           s. vanoci
Raluca Olaru                              r. olaru
Steve Darcis                              s. darsi
Robin Haase                               r. haase
Konstantin Kravchuk                       k. kravCuki
Vaja Uzakov                               v. uzakovi
Go Soeda                                  g. soeda
Marsel Ilhan                              m. ilhani
Ti Chen                                   t. Ceni
Chen, Ti                                  t. Ceni
Anna Tatishvili                           a. tatiSvili
Flavio Cipolla                            f. Cipola
Lukas Lacko                               l. lacko
Frank Dancevic                            f. danceviCi
Paolo Lorenzi                             p. lorensi
Jeremy Chardy                             j. Cardi
Jan Mertl                                 i. mertli
Martin Klizan                             m. kliJani
Pablo Andujar                             p. anduJari
Adrian Ungur                              a. unguri
Josselin Ouanna                           i. oana
Bastian Knittel                           b. kniteli
Farrukh Dustov                            f. dustovi
Dustov, Farrukh                           f. dustovi
Rogerio Dutra Silva                       r. dutra silva
Andre Ghem                                a. gemi
Matthias Bachinger                        m. baxingeri
Santiago Giraldo                          s. xiraldo
Pablo Cuevas                              p. kuevasi
Marin Cilic                               m. ciliCi
M. Cilic                                  m. ciliCi
Adrian Mannarino                          a. manarino
Maximo Gonzalez                           m. gonsalesi
Tatjana Malek                             t. maleki
Liga Dekmeijere                           l. dekmeiere
Alicja Rosolska                           a. rosolska
Su-Wei Hsieh                              suvei si
Alla Kudryavtseva                         a. kudriavceva
Dominika Cibulkova                        d. cibulkova
Mathilde Johansson                        m. iohansoni
Tamira Paszek                             t. paSeki
Andrea Petkovic                           a. petkoviCi
Florin Mergea                             f. merge
Ivan Dodig                                i. dodigi
I. Dodig                                  i. dodigi
Pavol Cervenak                            p. Cervenaki
Grega Zemlja                              g. zemlia
