Russian Captions                          Georgian Captions
Локомотив Харьков                         xarkovis lokomotivi
Усти над Лабем                            usti nad labemi
Злин                                      zlini
Арбесбах                                  arbesbaxi
Хартберг                                  hartbergi
Посожильница                              posoJilnica
Хипо Нидерёстеррайх                       xipo niderosteraixi
Эннс-Вельс                                ens-velsi
Йерих Интернешнл                          ierix interneSnli
Миттельдойчланд                           miteldoiClandi
Нетцхопперс                               netcxopersi
Бюль                                      biuli
Ботроп                                    botropi
Гота                                      gota
Роттенбург                                rotenburgi
Пари Воллей                               pari volei
Туркуэн Лилль                             turkuen lili
Кахасоль Хуваса                           kaxasol xuvasa
СДЮШОР-Локомотив                          sdiuSor-lokomotivi
Бешикташ                                  beSiqTaSi
Ешилюрт                                   eSiliurti
Енисей                                    enisei
Динамо-2 Москва                           dinamo-2 moskovi
Рома                                      roma
Лойму                                     loimu
Тиикерит                                  tiikeriti
Дукла Либерец                             dukla libereci
Црвена Звезда                             crvena zvezda
Партизан                                  partizani
Бове                                      bove
Белогорье                                 belogorie
Грац                                      graci
Хипо Тироль                               xipo tiroli
Тироль                                    tiroli
Клагенфурт                                klagenfurti
Милс                                      milsi
Вена хотВолейс                            vena hotvoleisi
Фонте Бастардо                            fonte bastardo
Бенфика                                   benfika
Элвари Сахалин                            elvari saxalini
ЗабГПУ Чита                               zabgpu Cita
Енисей Красноярск                         enisei krasnoiarski
Динамо-Янтарь                             dinamo-iantari
Воеводина                                 voevodina
Университет Барнаул                       universitet barnauli
Енисей-2 Красноярск                       enisei-2 krasnoiarski
Динамо-БашГАУ Уфа                         dinamo-baSgau ufa
ИжГТУ Ижевск                              iJgtu iJevski
ДЮСШ-Самотлор                             dusS-samotlori
Политехник Вологда                        politexnik vologda
Торпедо Челябинск                         torpedo Celiabinski
НОВА-2 Новокуйбышевск                     nova-2 novokuibiSevski
Урал-2 Уфа                                ural-2 ufa
Динамо-ВятГУ Киров                        dinamo-viatgu kirovi
ВятГУ Киров                               viatgu kirovi
МВК Воронеж                               mvk voroneJi
Иристон Владикавказ                       iriston vladikavkazi
Ольштын                                   olStini
Вуковар                                   vukovari
Камник                                    kamniki
Университет-Визит-2                       universitet-vizit-2
Волга-Чебоксары                           volga-Ceboksari
ВакыфБанк T.Телеком                       vakifbank t.telekomi
Мирадор                                   miradori
Спарта-2 НН                               sparta-2 nn
Динамо-Экономист-УОР                      dinamo-ekonomist-uor
Владимир                                  vladimiri
Тверь                                     tveri
Бухарест                                  buqaresti
Пиатра Неамт                              piatra neamti
Сет                                       seti
Монпелье                                  monpelie
ТТУ                                       ttu
Быдгощ Делекта                            bidgoSC deleqta
Нова КБМ Браник                           nova kbm braniki
Линц                                      linci
Аль Ахли Каир                             al ahli kairi
Аль Араби Доха                            al arabi doxa
Жешув Ресовия                             JeSuv resovia
Единство Стара-Пазова                     edinstvo stara-pazova
Млади Радник                              mladi radniki
Клек                                      kleki
Спартак Лиг                               spartak ligi
Соллис Осаско                             solis osasko
Виго                                      vigo
Весиндарио                                vesindario
Грац-2                                    graci-2
Хартберг-2                                hartbergi-2
Ока-Буревестник Калуга                    oka-burevestnik kaluga
Рома Клуб Италия                          roma klub italia
Динамо Бухарест                           dinamo buqaresti
Крайова                                   kraiova
Генерал Хачинг                            general haCingi
СГАФК-Феникс Смоленск                     sgafk-feniqs smolenski
Мушинянка                                 muSinianka
Бельско-Бяла                              belsko-biala
Морсер                                    morseri
Грау                                      grau
Сеси                                      sesi
Фенербахче                                fenerbaxCe
Эджзаджибаши                              ejzajibaSi
Павиа                                     pavia
Конельяно                                 koneliano
Бусто Арсицио                             busto arsicio
Парма                                     parma
Урбино                                    urbino
Корильяно                                 koriliano
Кения Присонс                             kenia prisonsi
Тринити Вестерн                           triniti vesterni
Саймаа                                    saimaa
Лаккапя ПерПо                             lakapia perpo
Рабита Баку                               rabita baku
Динамо Хабаровск                          dinamo xabarovski
Риека                                     rieka
Пила                                      pila
Корсон Вето                               korson veto
Стяуа                                     stiaua
Университатя Тимишоара                    universitatia timiSoara
Фридрихсхафен                             fredrixshafeni
Политехника                               politexnika
Бююкшехир БЛД                             bld biukSexiri
Зенит-УОР                                 zeniti-uor
Динамо-КубГТУ                             dinamo-kubgtu
Иллер Банкасы                             iler bankasi
Пурсаклар                                 pursaklari
Оломоуц                                   olomouci
Галатасарай                               galaTasarai
Левски                                    levski
Марек                                     mareki
Ремат Залэу                               remat zaleu
Арис                                      arisi
Ираклис                                   iraklisi
Железничар                                JelezniCari
